System nameplate capacity (kWdc),System nameplate capacity (kWdc)
2.4,138.053
2.5,246.255
2.6,354.457
2.7,462.659
2.8,570.862
2.9,679.064
3,787.266
3.1,895.468
3.2,1003.67
3.3,1111.87
3.4,1220.07
3.5,1328.28
3.6,1436.48
3.7,1544.68
3.8,1652.88
3.9,1761.09
4,1869.29
4.1,1977.49
4.2,2085.69
4.3,2193.89
4.4,2302.1
4.5,2410.3
4.6,2518.5
4.7,2626.7
4.8,2734.91
4.9,2843.11
5,2951.31
5.1,3059.51
5.2,3167.71
5.3,3275.92
5.4,3384.12
5.5,3492.32
5.6,3600.52
5.7,3708.73
5.8,3816.93
5.9,3925.13
6,4033.33
6.1,4138.66
6.2,4239.79
6.3,4338.25
6.4,4436.51
6.5,4534.77
6.6,4633.02
6.7,4731.28
6.8,4829.54
6.9,4927.8
7,5026.05
7.1,5124.31
7.2,5222.57
7.3,5320.83
7.4,5408.78
7.5,5467.67
7.6,5502.32
