,p50_rd,ci_low,ci_high,,,
inv_1_kw,-2.058909363,-2.637653898,-1.856767407,,Min,-2.837152576
inv_2_kw,-2.503059076,-3.141857121,-1.939772074,,Max,-1.498658932
inv_3_kw,-2.164268744,-2.460071253,-1.758476585,,Mean,-2.126796789
inv_4_kw,-1.884209158,-2.459459006,-1.315031927,,Median,-2.13661128
inv_5_kw,-2.367822312,-2.803942776,-1.922440939,,,
inv_6_kw,-2.095563546,-2.526242255,-1.614790358,,,
inv_7_kw,-2.29466304,-2.676098438,-2.044416452,,,
inv_8_kw,-2.50172874,-2.728085328,-1.995638512,,,
inv_9_kw,-2.12442357,-2.388797415,-1.814267147,,,
inv_10_kw,-2.405039971,-2.786708705,-2.238176151,,,
inv_11_kw,-2.444044867,-2.753762116,-2.038019013,,,
inv_12_kw,-1.58572622,-2.001333304,-1.046290692,,,
inv_13_kw,-1.974467816,-2.335246949,-1.627398819,,,
inv_14_kw,-2.134982301,-2.361527246,-1.850580776,,,
inv_15_kw,-2.474085256,-2.769814956,-2.107289759,,,
inv_16_kw,-2.837152576,-3.216159329,-2.330595125,,,
inv_17_kw,-1.732918906,-2.138759145,-1.099043694,,,
inv_18_kw,-1.498658932,-2.053213017,-1.185626318,,,
inv_19_kw,-2.373250791,-2.744744648,-1.803437516,,,
inv_20_kw,-2.329709894,-2.5852925,-1.950859146,,,
inv_21_kw,-2.205397253,-2.520568747,-1.867204542,,,
inv_22_kw,-1.939527787,-2.162667619,-1.461474097,,,
inv_23_kw,-1.972922762,-2.325593446,-1.750469827,,,
inv_24_kw,-2.226028822,-2.711525261,-1.89140572,,,
inv_25_kw,-1.709610861,-2.019704951,-1.298331462,,,
inv_26_kw,-1.692919445,-1.93929183,-1.273115935,,,
inv_27_kw,-1.865129232,-2.096501005,-1.649139126,,,
inv_28_kw,-2.146225582,-2.603563779,-1.605811828,,,
inv_29_kw,-1.696200067,-2.191521617,-1.405815114,,,
inv_30_kw,-1.997839842,-2.382896876,-1.537494714,,,
inv_31_kw,-1.745036404,-2.292754879,-1.491750843,,,
inv_32_kw,-2.440822535,-3.031182098,-1.596312038,,,
inv_33_kw,-2.13824026,-2.670421988,-1.86934288,,,
inv_34_kw,-2.36207051,-2.560167077,-2.164423885,,,
inv_35_kw,-2.275069664,-2.739688794,-1.871119326,,,
inv_36_kw,-2.060581514,-2.501339657,-1.859879602,,,
inv_37_kw,-2.364085424,-2.833794078,-1.604503739,,,
inv_38_kw,-2.653152124,-3.069517787,-2.18376001,,,
inv_39_kw,-2.110164627,-2.537378528,-1.748822688,,,
inv_40_kw,-1.686161746,-2.225618662,-1.365967163,,,
